Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000005889,1834.473441,-0.14763446,0.128093752,-1.152550046,0.249095117,0.522285046
ENSG00000005893,18478.68044,-0.035154937,0.08833359,-0.397979265,0.69064547,0.859237702
ENSG00000005981,17.23003445,-0.106912838,0.493458541,-0.216660224,0.828473148,0.930708706
ENSG00000006007,8130.714576,0.064527139,0.074528972,0.8657994,0.386600179,0.655636633
ENSG00000006015,602.8821096,0.120093712,0.094468698,1.27125402,0.203638294,0.469083151
ENSG00000006016,92.39911789,1.513832062,0.314810219,4.808713219,1.52E-06,0.000103848
ENSG00000006025,279.0567412,0.190468095,0.206050845,0.92437425,0.355291497,0.629227412
ENSG00000006042,7802.469076,0.114411512,0.105202743,1.087533552,0.276801079,0.552642011
ENSG00000006047,310.0153021,-0.091151537,0.249503601,-0.365331548,0.714863931,0.872516392
ENSG00000006062,411.564002,0.323104768,0.154819248,2.086980608,0.036889887,0.174410774
ENSG00000006118,9880.889826,0.23421881,0.130275822,1.79786861,0.072197832,0.259409164
ENSG00000006125,23206.07586,-0.099529281,0.055400069,-1.796555172,0.072406266,0.259786997
ENSG00000006194,2180.171996,0.074222044,0.069084714,1.074362763,0.282660125,0.558607015
ENSG00000006210,83.36979036,0.480604623,0.254649427,1.887318689,0.059117474,0.231272329
ENSG00000006282,3528.73545,-0.113511205,0.11827281,-0.95974049,0.33718584,0.61198321
ENSG00000006283,78.35308518,-0.144252229,0.272219142,-0.529912142,0.596172847,0.805444999
ENSG00000006327,7939.607924,0.427510149,0.103521708,4.1296667,3.63E-05,0.001245598
ENSG00000006432,4193.177288,0.062356516,0.114831122,0.543028016,0.587110513,0.799131351
ENSG00000006451,3937.581741,-0.053527847,0.096184129,-0.55651434,0.577859294,0.793430779
ENSG00000006453,5328.777063,-0.046341576,0.044300529,-1.046072744,0.295527448,0.572893637
ENSG00000006459,1624.246935,-0.105454513,0.249413023,-0.422810774,0.672433326,0.848687914
ENSG00000006468,90.13042154,0.579125017,0.492348225,1.176250847,0.239494651,0.511508544
ENSG00000006530,1099.583589,-0.023772879,0.087265017,-0.272421646,0.785297831,0.909166182
ENSG00000006534,677.3633515,-0.397239178,0.176630696,-2.248981556,0.02451367,0.134501047
ENSG00000006555,231.4038646,0.027779414,0.168236558,0.165121148,0.868848628,0.947716573
ENSG00000006576,2866.096896,0.12263793,0.122450347,1.001531915,0.316569719,0.592277812
ENSG00000006607,1953.959772,0.143443672,0.118049922,1.215110258,0.224324042,0.493526949
ENSG00000006611,3624.413091,-0.190767638,0.145770571,-1.308684164,0.190641358,0.45477019
ENSG00000006625,933.6200481,-0.114472111,0.131148359,-0.872844403,0.382747894,0.652627888
ENSG00000006634,269.4509445,-0.181607174,0.275317246,-0.659628761,0.509492093,0.746560517
ENSG00000006652,8348.069131,-0.027719455,0.074979976,-0.369691433,0.711612416,0.870464232
ENSG00000006695,835.6694717,-0.09580434,0.096548515,-0.992292219,0.321054998,0.596644001
ENSG00000006704,4572.350468,0.183752876,0.075571572,2.431507913,0.01503612,0.097164625
ENSG00000006712,3319.90061,0.276533135,0.077830746,3.553006352,0.000380855,0.007443155
ENSG00000006715,3070.263177,-0.103595286,0.074728451,-1.386289762,0.165658442,0.42080469
ENSG00000006740,1837.849618,-0.085838482,0.07691876,-1.11596289,0.26443802,0.539488633
