Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000006283,78.35308518,-0.10954097,0.275180563,-0.398069432,0.690579006,0.958116055
ENSG00000006327,7939.607924,-0.012852339,0.103721541,-0.123911959,0.901384984,0.986138403
ENSG00000006432,4193.177288,0.026850569,0.114942212,0.233600594,0.815295067,0.977151684
ENSG00000006451,3937.581741,0.005922018,0.096265857,0.061517325,0.950947217,0.993249773
ENSG00000006453,5328.777063,-0.097384613,0.044638136,-2.181646062,0.029135665,0.522227153
ENSG00000006459,1624.246935,0.110806672,0.249417843,0.444261207,0.656853744,0.95045716
ENSG00000006468,90.13042154,0.575678662,0.498497847,1.154826776,0.24816137,0.821530727
ENSG00000006530,1099.583589,-0.061532666,0.087968052,-0.699488788,0.484246617,0.912971963
ENSG00000006534,677.3633515,-0.193721968,0.177064367,-1.094076525,0.273921417,0.840107414
ENSG00000006555,231.4038646,-0.128047643,0.170812481,-0.749638679,0.453472349,0.90614428
ENSG00000006576,2866.096896,0.24613066,0.122465449,2.009796742,0.044452706,0.583120147
ENSG00000006607,1953.959772,0.21384682,0.11832758,1.807244097,0.070724228,0.648433224
ENSG00000006611,3624.413091,-0.171983146,0.145924985,-1.178572303,0.238568526,0.817173095
ENSG00000006625,933.6200481,0.010091034,0.131532806,0.076718763,0.938847278,0.991755375
ENSG00000006634,269.4509445,0.198404076,0.274979941,0.721521995,0.470588413,0.908660712
ENSG00000006652,8348.069131,0.137893429,0.075036265,1.83769047,0.066108029,0.641396238
ENSG00000006695,835.6694717,0.041667018,0.097151969,0.428884951,0.668006953,0.953279626
ENSG00000006704,4572.350468,-0.022299002,0.075891181,-0.293828638,0.768888851,0.971195449
ENSG00000006712,3319.90061,0.062311801,0.07822519,0.796569512,0.42570109,0.900513261
ENSG00000006715,3070.263177,0.021974708,0.074934694,0.293251455,0.769329956,0.97122033
ENSG00000006740,1837.849618,-0.000356138,0.077403049,-0.004601084,0.996328879,0.99916461
ENSG00000006744,3414.346619,-0.041978671,0.057399933,-0.731336585,0.464573589,0.906622303
ENSG00000006747,1877.650152,0.126195445,0.145644616,0.866461451,0.386237158,0.890459482
ENSG00000006756,2171.651055,-0.225607085,0.068104726,-3.312649469,0.000924167,0.095502991
ENSG00000006757,472.9822175,-0.052860647,0.122960754,-0.429898527,0.667269457,0.953279626
ENSG00000006831,6691.567008,0.22386851,0.074647579,2.999005628,0.002708623,0.176131549
