Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000005513,30.53405089,-0.217625424,0.376682365,-0.577742532,0.563437959,0.783601409
ENSG00000005700,11658.64896,-0.104245595,0.103923641,-1.003097982,0.315813588,0.587332969
ENSG00000005801,1088.524883,-0.056866297,0.094204578,-0.603646853,0.546078456,0.772347264
ENSG00000005810,3874.993741,-0.062447733,0.14710912,-0.424499399,0.671201643,0.85046794
ENSG00000005812,1992.593187,0.096166414,0.129873215,0.7404638,0.459018619,0.712975659
ENSG00000005844,15.37103705,-0.48033881,0.703880963,-0.682414833,0.494976679,0.736499026
ENSG00000005882,636.3599372,-0.285364736,0.239939014,-1.189321949,0.234313001,0.500459683
ENSG00000005884,8808.245498,0.552011394,0.08360828,6.602353191,4.05E-11,5.15E-09
ENSG00000005889,1834.473441,-0.082490845,0.128212297,-0.64339262,0.519969371,0.753762857
ENSG00000005893,18478.68044,0.168518031,0.088327131,1.907885255,0.056406048,0.208495414
ENSG00000005961,15.71658041,-0.615046486,0.483225264,-1.272794559,0.203090953,0.461337812
ENSG00000005981,17.23003445,-1.146271762,0.509135925,-2.251406168,0.024359824,0.117540895
ENSG00000006007,8130.714576,0.139281455,0.074569798,1.867799824,0.061789978,0.220659827
ENSG00000006015,602.8821096,0.11235798,0.09500625,1.182637777,0.236952734,0.503358598
ENSG00000006016,92.39911789,2.138259834,0.311570281,6.862849137,6.75E-12,1.05E-09
ENSG00000006025,279.0567412,0.115927999,0.206439313,0.561559701,0.574416044,0.790497581
ENSG00000006042,7802.469076,0.030122714,0.105265685,0.286158913,0.774756411,0.903879225
ENSG00000006047,310.0153021,-0.22937778,0.249949629,-0.917696021,0.358778031,0.628182798
ENSG00000006062,411.564002,0.637509454,0.15462364,4.122975335,3.74E-05,0.000789543
ENSG00000006118,9880.889826,0.047116891,0.130322015,0.361542072,0.71769426,0.875268677
ENSG00000006125,23206.07586,0.039093039,0.055408368,0.705543953,0.480471789,0.726672997
ENSG00000006194,2180.171996,-0.12268467,0.069533299,-1.764401685,0.077664375,0.254861524
ENSG00000006210,83.36979036,1.305229808,0.250191337,5.216926478,1.82E-07,9.41E-06
ENSG00000006282,3528.73545,-0.160602186,0.118383027,-1.356631862,0.174898212,0.422562634
ENSG00000006283,78.35308518,0.181682406,0.27132822,0.669603798,0.503110393,0.74279326
ENSG00000006327,7939.607924,0.532307095,0.103541544,5.141000148,2.73E-07,1.34E-05
ENSG00000006432,4193.177288,-0.233904623,0.115005848,-2.033849816,0.04196674,0.171344205
ENSG00000006451,3937.581741,-0.01633668,0.096270568,-0.169695475,0.865249633,0.945458645
ENSG00000006453,5328.777063,-0.13330386,0.044578581,-2.990311898,0.002786927,0.024260893
ENSG00000006459,1624.246935,-0.254715054,0.249481153,-1.020979143,0.30726432,0.579041807
ENSG00000006468,90.13042154,0.623603853,0.493397408,1.263897708,0.206266745,0.465611217
ENSG00000006530,1099.583589,0.217170099,0.087256459,2.488871331,0.012814934,0.075146155
ENSG00000006534,677.3633515,-0.18697189,0.17655669,-1.058990681,0.289604024,0.560942598
ENSG00000006555,231.4038646,0.213821756,0.168336112,1.270207286,0.204010803,0.462578871
ENSG00000006576,2866.096896,-0.048640349,0.122628797,-0.396647037,0.691627761,0.862943712
ENSG00000006606,10.54463594,-0.974463995,0.640990729,-1.52024663,0.128449002,0.349933584
ENSG00000006607,1953.959772,0.14507464,0.118180324,1.227570162,0.219608368,0.482286873
ENSG00000006611,3624.413091,-0.265117961,0.145884072,-1.817319444,0.069168214,0.236811264
ENSG00000006625,933.6200481,-0.182564547,0.131570041,-1.387584474,0.165263612,0.408747453
ENSG00000006634,269.4509445,-0.284490905,0.275193448,-1.033785166,0.301236608,0.573464405
ENSG00000006638,16.23493214,-0.724193537,0.669572783,-1.081575529,0.279441183,0.550316286
ENSG00000006652,8348.069131,0.259818669,0.074959674,3.466112572,0.000528042,0.006726559
ENSG00000006695,835.6694717,-0.031271779,0.096862167,-0.322848223,0.74681019,0.889880544
ENSG00000006704,4572.350468,-0.046552003,0.07575701,-0.614491032,0.538890897,0.767418643
ENSG00000006712,3319.90061,0.076784971,0.078076423,0.98345912,0.325381526,0.597358513
ENSG00000006715,3070.263177,-0.099227052,0.074874094,-1.325252115,0.185087545,0.436860507
ENSG00000006740,1837.849618,-0.269370344,0.077388849,-3.48073845,0.000500034,0.00647777
ENSG00000006744,3414.346619,-0.045694714,0.057227649,-0.798472671,0.424596246,0.687024167
ENSG00000006747,1877.650152,-0.194848878,0.145822454,-1.336206281,0.181481859,0.431178986
ENSG00000006756,2171.651055,-0.104502125,0.067790957,-1.541534887,0.123186659,0.341252396
ENSG00000006757,472.9822175,-0.045479249,0.122631189,-0.370862008,0.710740314,0.871712974
ENSG00000006831,6691.567008,0.140827569,0.074621072,1.887235926,0.0591286,0.215294395
ENSG00000006837,91.85304675,-0.591388196,0.335102778,-1.764796461,0.07759798,0.2548237
ENSG00000007047,4398.55537,-0.000284132,0.077719593,-0.003655863,0.99708305,0.99885741
ENSG00000007062,16970.34767,-0.324444292,0.102314746,-3.171041369,0.001518935,0.0152361
ENSG00000007080,2189.153147,0.067634308,0.085473756,0.791287424,0.428776285,0.690022939
ENSG00000007168,8353.443646,-0.099572576,0.109165007,-0.912129072,0.361700776,0.631277275
ENSG00000007171,15.99110599,0.441931395,0.466416742,0.947503285,0.343382383,0.613838966
ENSG00000007174,20.12030142,0.570461913,0.634277335,0.899388772,0.368445618,0.636646347
ENSG00000007202,14160.77688,0.051085674,0.053848063,0.948700304,0.34277306,0.613278374
ENSG00000007216,38.9515418,-1.682955607,0.518699804,-3.244565727,0.001176299,0.012609406
ENSG00000007237,8791.763561,0.14904538,0.092574164,1.61001054,0.107395555,0.312024903
ENSG00000007255,393.0179027,-0.235822048,0.126197193,-1.868679028,0.061667483,0.220391851
ENSG00000007314,15.48541767,-0.112835626,0.723944301,-0.155862303,0.87614156,0.950291005
ENSG00000007341,647.9392348,-0.21615318,0.119281673,-1.812123979,0.069967042,0.238535096
ENSG00000007376,1016.592526,-0.044452347,0.087984246,-0.505230755,0.613396771,0.816616871
ENSG00000007384,2834.087655,0.010487558,0.079460855,0.131983954,0.894996984,0.958270286
ENSG00000007392,1817.118544,-0.012740904,0.101225169,-0.125866958,0.899837238,0.959847083
ENSG00000007402,81.08412851,0.387951892,0.280294538,1.384086522,0.166331963,0.41059096
ENSG00000007516,101.7925601,0.597745917,0.234015965,2.554295459,0.010640292,0.065149873
ENSG00000007520,3087.532198,0.112551596,0.077585005,1.45068749,0.146866901,0.381373555
ENSG00000007541,2013.949816,0.064491634,0.126319087,0.510545443,0.609669387,0.813846461
ENSG00000007545,2781.291029,-0.244993315,0.131496586,-1.863115402,0.062446032,0.221893636
ENSG00000007866,2787.06894,0.319822789,0.085977633,3.719837093,0.000199351,0.003133121
ENSG00000007923,3281.299951,-0.063463254,0.069636537,-0.911349948,0.362111017,0.631665334
ENSG00000007944,3942.345026,-0.032017738,0.128769215,-0.248644353,0.803635897,0.917643621
ENSG00000007968,35.73217481,-1.042662826,0.637325943,-1.635996209,0.101840381,0.301809035
ENSG00000008018,5037.141169,0.118089223,0.107430143,1.099218708,0.271672681,0.541741454
ENSG00000008056,235.9089872,-0.246645359,0.334494054,-0.737368441,0.460898322,0.713746926
ENSG00000008083,3092.609974,-0.341113528,0.091168595,-3.741568336,0.000182875,0.002923646
ENSG00000008086,6670.166311,0.252709765,0.187621689,1.346911255,0.178008816,0.426849633
ENSG00000008128,1474.962872,-0.0164002,0.127538873,-0.128589811,0.897682229,0.959243958
ENSG00000008130,5194.62689,0.006149547,0.08875046,0.069290312,0.944758537,0.978647519
ENSG00000008256,3933.067098,-0.396408829,0.117310639,-3.379137922,0.000727135,0.008602568
ENSG00000008277,238.5680474,-0.530364226,0.227295627,-2.33336749,0.019628866,0.10174259
ENSG00000008282,3877.528912,0.109481711,0.083408279,1.312600042,0.189317755,0.443053155
ENSG00000008283,969.0862661,0.199391135,0.10091204,1.975890436,0.048167188,0.188220834
ENSG00000008294,18996.39873,-0.004871753,0.055779045,-0.087340196,0.930401104,0.972535213
ENSG00000008300,1158.9764,0.287833289,0.189725498,1.517103884,0.129240458,0.351060094
ENSG00000008311,4557.947547,0.238691771,0.110319133,2.163647994,0.030491375,0.13825684
ENSG00000008323,2855.158017,0.194668547,0.118399871,1.644161818,0.100142781,0.298324639
ENSG00000008324,447.3533288,0.05359215,0.123680081,0.433312706,0.664787609,0.847058745
ENSG00000008382,865.2438454,-0.179676036,0.089002508,-2.018774968,0.043510614,0.175754157
ENSG00000008394,5072.471551,-0.145134129,0.132877552,-1.09223963,0.274727788,0.54496723
ENSG00000008405,2279.704319,0.048994867,0.099764844,0.491103525,0.623353228,0.822328712
ENSG00000008441,230.6993547,0.248120807,0.272961491,0.908995645,0.363352425,0.63273322
ENSG00000008513,4443.468771,0.29516423,0.250400281,1.178769562,0.238489948,0.505295137
ENSG00000008516,60.54156542,0.750270529,0.234764006,3.195849914,0.001394196,0.014269962
ENSG00000008517,11691.24158,1.540846739,0.153966466,10.00767751,1.41E-23,1.75E-20
ENSG00000008710,4578.165678,0.34165838,0.150510323,2.269999639,0.023207605,0.113634074
ENSG00000008735,198.1342467,0.045971806,0.272488335,0.168711098,0.866023889,0.945470486
ENSG00000008838,4280.198853,0.012209978,0.073736853,0.165588538,0.868480768,0.946927323
ENSG00000008853,2066.154962,0.196477344,0.104197473,1.885624834,0.059345528,0.215617508
ENSG00000008869,2617.452146,-0.048746074,0.084811773,-0.574755983,0.56545634,0.784619243
ENSG00000008952,6972.464237,-0.034917424,0.096343739,-0.362425454,0.717034121,0.874716006
ENSG00000008988,17978.53704,0.033140289,0.080000595,0.414250523,0.678690644,0.855071963
ENSG00000009307,39304.68349,0.017584774,0.065773233,0.267354566,0.789196177,0.910303787
ENSG00000009335,6797.300261,0.066439463,0.058220764,1.141164411,0.253801511,0.522886844
ENSG00000009413,2321.512996,-0.137891954,0.162206602,-0.850100751,0.395269074,0.661133288
